"component","origin","license","copyright"
"cyseq","https://github.com/aboutcode-org/cyseq","['Apache-2.0']","['nexB. Inc. and others']"
"debian-inspector","https://github.com/aboutcode-org/debian-inspector","['Apache-2.0 AND BSD-3-Clause AND MIT']","['nexB. Inc. and others']"
"distro","https://github.com/python-distro/distro","[' Version 2.0', 'Apache License']","['Nir Cohen']"
"dockerfile-parse","https://github.com/containerbuildsystem/dockerfile-parse","['BSD']","['Jiri Popelka']"
"docstring-parser","https://github.com/rr-/docstring_parser","['MIT']","['Marcin Kurczewski']"
"dparse2","https://github.com/aboutcode-org/dparse2","['MIT']","['maintained by AboutCode.org', 'originally from Jannis Gebauer']"
"extractcode","https://github.com/aboutcode-org/extractcode","['Apache-2.0']","['nexB. Inc. and others']"
"extractcode-7z","https://github.com/aboutcode-org/scancode-plugins","['apache-2.0 AND lgpl-2.1 and unrar and brian-gladman-3-clause']","['nexB']"
"extractcode-libarchive","https://github.com/aboutcode-org/scancode-plugins","['apache-2.0 AND bsd-simplified']","['nexB']"
"fasteners","https://github.com/harlowja/fasteners","['Apache-2.0']","['Joshua Harlow']"
"fingerprints","https://github.com/opensanctions/fingerprints","['MIT']","['Friedrich Lindenberg']"
"ftfy","https://github.com/rspeer/python-ftfy","['Apache-2.0']","['Robyn Speer']"
"gemfileparser2","https://github.com/aboutcode-org/gemfileparser2","['GPL-3.0-or-later OR MIT']","['Balasankar C', 'Rohit Potter', 'nexB. Inc. and others']"
"github.com/DataDog/dd-license-attribution","https://github.com/DataDog/dd-license-attribution","['Apache-2.0']","['Datadog, Inc.']"
"giturlparse","https://github.com/nephila/giturlparse","['Apache v2']","['Aaron O Mullan']"
"h11","https://github.com/python-hyper/h11","['MIT']","['Nathaniel J. Smith']"
"html5lib","https://github.com/html5lib/html5lib-python","['MIT License']","['James Graham and other contributors', 'web-platform-tests contributors']"
"httpcore","https://github.com/encode/httpcore","['BSD-3-Clause']","['Encode OSS Ltd']"
"httpx","https://github.com/encode/httpx","['BSD-3-Clause']","['Encode OSS Ltd']"
"idna","https://github.com/kjd/idna","['BSD-3-Clause']","['Kim Davies and contributors']"
"importlib_metadata","https://github.com/python/importlib_metadata","['Apache-2.0']","['Jason R. Coombs']"
"intbitset","https://github.com/inveniosoftware-contrib/intbitset","['LGPL-3.0-or-later']","['Invenio collaboration', 'maintained by Philippe Ombredanne and AboutCode.org']"
"jaraco.functools","https://github.com/jaraco/jaraco.functools","['MIT']","['Jason R. Coombs']"
"javaproperties","https://github.com/jwodder/javaproperties","['MIT']","['John Thorvald Wodder II']"
"jiter","https://github.com/pydantic/jiter","['MIT']","['Samuel Colvin']"
"jsonstreams","https://github.com/dcbaker/jsonstreams","['MIT']","['Dylan Baker']"
"license-expression","https://github.com/aboutcode-org/license-expression","['Apache-2.0']","['nexB. Inc. and others']"
"lxml","https://github.com/lxml/lxml","['BSD-3-Clause']","['lxml dev team']"
"markdown-it-py","https://github.com/executablebooks/markdown-it-py","['MIT']","['ExecutableBookProject']"
"mdurl","https://github.com/executablebooks/mdurl","['MIT']","['Joyent, Inc. and other Node contributors', 'Taneli Hukkinen', 'Vitaly Puzrin, Alex Kocharin']"
"more-itertools","https://github.com/more-itertools/more-itertools","['MIT']","['Erik Rose']"
"multiregex","https://github.com/Quantco/multiregex","['BSD-3-Clause']","['QuantCo Inc']"
"normality","https://github.com/pudo/normality","['MIT']","['Friedrich Lindenberg', 'Gregor Aisch']"
"openai","https://github.com/openai/openai-python","['Apache-2.0']","['OpenAI']"
"packageurl-python","https://github.com/package-url/packageurl-python","['MIT']","['the purl authors']"
"packaging","https://github.com/pypa/packaging","['BSD-3-Clause OR Apache-2.0']","['pypa']"
"packvers","https://github.com/aboutcode-org/packvers","['BSD-2-Clause or Apache-2.0']","['Donald Stufft and individual contributors']"
"parameter-expansion-patched","https://github.com/nexB/parameter-expansion-patched","['Apache-2.0']","['Michael A. Smith and Philippe Ombredanne']"
"pdfminer.six","https://github.com/pdfminer/pdfminer.six","['MIT']","['Pieter Marsman', 'Yusuke Shinyama']"
"pefile","https://github.com/erocarrera/pefile","['MIT']","['Ero Carrera']"
"pip","https://github.com/pypa/pip","['MIT']","['Andrey Petrov and contributors', 'Corporation for National Research Initiatives', 'Eric Larson', 'INADA Naoki', 'Kim Davies and contributors', 'Python Software Foundation', 'Seth Michael Larson', 'Stephen Rosen', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands', 'Taneli Hukkinen', 'The pip developers', 'The platformdirs developers', 'Thomas Kluyver', 'Tzu-ping Chung', 'Will McGugan']"
"pip-requirements-parser","https://github.com/aboutcode-org/pip-requirements-parser","['MIT']","['The pip authors', 'nexB. Inc. and others']"
"pkginfo2","https://github.com/aboutcode-org/pkginfo2","['MIT']","['Agendaless Consulting', 'Maintained by nexB, Inc. Authored by Tres Seaver']"
"pluggy","https://github.com/pytest-dev/pluggy","['MIT']","['Holger Krekel']"
"plugincode","https://github.com/aboutcode-org/plugincode","['Apache-2.0']","['nexB. Inc. and others']"
"ply","https://www.dabeaz.com/ply/","['BSD']","['David Beazley']"
"publicsuffix2","https://github.com/aboutcode-org/python-publicsuffix2","['MIT and MPL-2.0']","['David Wilson and others.', 'Tomaz Solc', 'nexB Inc.']"
"pyahocorasick","https://github.com/WojciechMula/pyahocorasick","['BSD-3-Clause and Public-Domain']","['Wojciech Muła']"
"pycparser","https://github.com/eliben/pycparser","['BSD-3-Clause']","['Eli Bendersky']"
"pydantic","https://github.com/pydantic/pydantic","['MIT']","['Samuel Colvin']"
"pydantic_core","https://github.com/pydantic/pydantic-core","['MIT']","['Samuel Colvin']"
"pygmars","https://github.com/aboutcode-org/pygmars","['Apache-2.0']","['nexB. Inc. and others']"
"pymaven-patch","https://github.com/aboutcode-org/pymaven","['Apache-2']","['Walter Scheper']"
"pyparsing","https://github.com/pyparsing/pyparsing","['MIT']","['Paul McGuire']"
"pytz","https://pythonhosted.org/pytz","['MIT']","['Stuart Bishop']"
"rdflib","https://github.com/RDFLib/rdflib","['BSD-3-Clause']","[""Daniel 'eikeon' Krech""]"
"requests","https://github.com/psf/requests","['Apache-2.0']","['Kenneth Reitz']"
"rich","https://github.com/Textualize/rich","['MIT']","['Will McGugan']"
"saneyaml","https://github.com/aboutcode-org/saneyaml","['Apache-2.0']","['nexB. Inc. and others']"
"scancode-toolkit","https://github.com/aboutcode-org/scancode-toolkit","['Apache-2.0 AND CC-BY-4.0 AND LicenseRef-scancode-other-permissive AND LicenseRef-scancode-other-copyleft']","['nexB. Inc. and others']"
"semantic-version","https://github.com/rbarrois/python-semanticversion","['BSD']","['Raphaël Barrois']"
"setuptools","https://github.com/pypa/setuptools","['MIT']","['Python Packaging Authority']"
"shellingham","https://github.com/sarugaku/shellingham","['ISC License']","['Tzu-ping Chung']"
"six","https://github.com/benjaminp/six","['MIT']","['Benjamin Peterson']"
"sniffio","https://github.com/python-trio/sniffio","['MIT OR Apache-2.0']","['python-trio']"
"soupsieve","https://github.com/facelessuser/soupsieve","['MIT']","['Isaac Muse']"
"spdx-tools","https://github.com/spdx/tools-python","['Apache-2.0']","['spdx']"
"text-unidecode","https://github.com/kmike/text-unidecode","['Artistic License']","['Mikhail Korobov']"
"toml","https://github.com/uiri/toml","['MIT']","['William Pearson']"
"tqdm","https://github.com/tqdm/tqdm","['MPL-2.0 AND MIT']","['Casper da Costa-Luis casperdcl', 'Noam Yorav-Raphael, original author', 'noamraph']"
"typecode","https://github.com/aboutcode-org/typecode","['Apache-2.0']","['nexB. Inc. and others']"
"typecode-libmagic","https://github.com/aboutcode-org/scancode-plugins","['apache-2.0 AND bsd-simplified-darwin AND (bsd-simplified AND public-domain AND bsd-new AND isc AND (bsd-new OR gpl-1.0-plus) AND bsd-original)']","['nexB']"
"typer","https://github.com/fastapi/typer","['MIT']","['Sebastian Ramirez']"
"typing-inspection","https://github.com/pydantic/typing-inspection","['MIT']","['Pydantic Services Inc.']"
"typing_extensions","https://github.com/python/typing_extensions","['PSF-2.0']","['Corporation for National Research Initiatives', 'Python Software Foundation', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands']"
"uritools","https://github.com/tkem/uritools","['MIT']","['Thomas Kemmer']"
"urllib3","https://github.com/urllib3/urllib3","['MIT']","['Andrey Petrov and contributors']"
"urlpy","https://github.com/aboutcode-org/urlpy","['MIT']","['nexB Inc (based on code from Dan Lecocq)']"
"wcwidth","https://github.com/jquast/wcwidth","['HPND-Markus-Kuhn', 'MIT']","['Jeff Quast']"
"webencodings","https://github.com/gsnedders/python-webencodings","['BSD']","['Geoffrey Sneddon']"
"xmltodict","https://github.com/martinblech/xmltodict","['MIT']","['Martin Blech']"
"zipp","https://github.com/jaraco/zipp","['MIT']","['Jason R. Coombs']"
